,Cena,Liczba_pokoi,Powierzchnia,Piętro,Lokalizacja,Opis,liczba, opis,_merge
0,320.0,3.0,79.0,10.0,Poznań Rataje ul. Orła Bialego,Na sprzedaż duże słoneczne mieszkanie 3-pokojowe na 10 piętrze na os. Orła Białego ( Rataje) Nieruchomość złożona z: pokój 22 m.kw pokój 18 m.kw pokój 12 m.kw kuchnia oddzielna 8 m.kw łazienka 3 m.kw WC 1 5 m.kw korytarz 13 5 m.kw....,,,left_only
1,209.0,2.0,40.0,10.0,Poznań Grunwald Górczyn Ogrody Łazarz Centrum ul. Kordeckiego- Niezależy Układ Balkon!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Górczynie ( ul. Kordeckiego ). Na 39 50 m2 składają się dwa ustawne pokoje osobna...,,,left_only
2,246.0,2.0,37.0,10.0,Poznań Bonin,Polecamy na sprzedaż dwupokojowe mieszkanie na 10 piętrze z pięknym widokiem na panoramę miasta!!! Mieszkanie składa się z dwóch pokoi kuchni łazienki. Do nieruchomości przynależy piwnica i garaż ogrzewany. Czynsz 360 zł + 70 zł za garaż....,,,left_only
3,245.0,2.0,42.9,10.0,Poznań Rataje ul. Czecha,Witam. Mam do sprzedania mieszkanie w Poznaniu na Osiedlu Czecha. Mieszkanie jest częściowo umeblowane 2 niezależne pokoje kuchnia meble pod zabudowę w korytarzu znajdują się dwa bardzo pojemne senatory łazienka 3lata temu po gruntownym...,,,left_only
4,216.0,2.0,36.7,10.0,Poznań Bonin ul. Turkusowa Z Garażem,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Dwupokojowe mieszkanie z garażem murowanym. Lokalizacja: Bonin ulica Turkusowa. Mieszkanie o powierzchni 36 70 m2 położone na X piętrze/X Do mieszkania przynależy...,,,left_only
5,255.0,2.0,42.9,10.0,Poznań Rataje ul. Czecha,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Serdecznie zapraszam do zapoznania się z ofertą dwupokojowego mieszkania zlokalizowanego na osiedlu Czecha (Rataje). Całość powierzchni 42.9 m2.Nieruchomość położona...,,,left_only
6,255.0,2.0,42.42,10.0,Poznań Nowe Miasto ul. Os. Czecha,Jasne mieszkanie na dziesiątym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Nowe Miasto. Dwa pokoje okna wychodzące na wschód zachód; widok na panoramę miasta. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele...,,,left_only
7,350.0,4.0,75.76,10.0,Poznań Nowe Miasto ul. Stare Żegrze,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI POLECAM NA SPRZEDAŻ Przestronne ładne i słoneczne 4 pokojowe mieszkanie o pow 75 76m2 zlokalizowane na 10 piętrze w wysokim bloku na os. Stare Żegrze w Poznaniu....,,,left_only
8,225.0,2.0,42.2,10.0,Poznań Grunwald Os. Kopernika ul. Newtona,Mieszkanie 2-pokojowe w bloku na ul. Newtona. Mieszkanie znajduje się na 10 piętrze. Budynek z nową elewacją wymienione piony wodno-kan w budynku 2 windy. Układ mieszkania: 2 niezależne pokoje (ok 18m2 z balkonem; 10m2) oddzielna kuchnia z...,,,left_only
9,318.0,3.0,67.0,10.0,Poznań Rataje ul. Stare Żegrze,ATRAKCYJNA OFERTA 318 000 ZŁ DO NEGOCJACJI !!! Sprzedam mieszkanie 3 -pokojowe 67 m2 wyremontowane i do zamieszkania. Układ niezależny - Kuchnia 8m2 po remoncie meble nowe na wymiar + pawlacz łazienka 5m2 i WC 1 5m2 - po remoncie korytarze...,,,left_only
10,175.0,1.0,32.0,10.0,Poznań Grunwald Centrum Górczyn Łazarz Ogrody ul. Galileusza - Ładny Układ!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu kawalerkę położoną na Grunwaldzie ( ul. Galileusza ). Na 32 m2 składa się ustawny pokój osobna kuchnia z oknem ...,,,left_only
11,270.0,1.0,34.0,10.0,Poznań Stare Miasto Winogrady ul. Os. Zwycięstwa,***WINOGRADY***32M2***PO REMONCIE*** Gustownie urządzona kawalerka o powierzchni 34m2 na Osiedlu Zwycięstwa w Poznaniu. Mieszkanie położone na dziesiątym piętrze szesnastopiętrowego bloku z wielkiej płyty z 1980r. Na powierzchni 34 m2...,,,left_only
12,250.0,2.0,50.0,10.0,Poznań Piątkowo ul. Os.Bolesława Chrobrego,Polecam na sprzedaż mieszkanie przy ulicy Chrobrego usytuowane na 10 piętrze. Powierzchnia mieszkania wynosi 49 9m2 i składają się na nią 2 niezależne pokoje kuchnia korytarz i łazienka z oddzielnym wc. Opłaty za czynsz wynoszą ok. 500 zł przy 3...,,,left_only
13,185.0,2.0,37.5,10.0,Poznań Dębiec ul. Św. Szczepana,Małe ale własne! Polecam na sprzedaż mieszkanie 2-pokojowe o powierzchni 37 5 m2 usytuowane na 10p.w bloku zlokalizowanym na ulicy Św.Szczepana na Dębcu. Układ mieszkania: pokój z aneksem kuchennym ( 16m2) posiadający duże okna oraz wyjście na...,,,left_only
14,177.0,1.0,31.0,10.0,Poznań Grunwald ul. Galileusza,Polecam na sprzedaż przytulną kawalerkę 31 m2 przy ulicy Galileusza na Osiedlu Kopernika znajdującą się na 10 piętrze w wysokim bloku. Mieszkanie składa się z małego korytarza dużego pokoju oddzielnej kuchni z oknem oraz łazienki po remoncie z...,,,left_only
15,299.0,3.0,62.0,10.0,Poznań Rataje ul. Os. Rusa,NIEZALEŻNE POMIESZCZENIA! MIESZKANIE PO REMONCIE! GOTOWE DO WPROWADZENIA! Na sprzedaż mieszkanie 3-pokojowe usytuowane na 10 piętrze w WYSOKIM bloku z WINDĄ na os. Rusa (Rataje) o powierzchni 62m2. Mieszkanie jest jasne i przestronne. Posiada...,,,left_only
16,269.0,2.0,55.5,10.0,Poznań Rataje ul. Falista,Słoneczne mieszkanie na dziesiątym piętrze w wieżowcu w Poznaniu w dzielnicy Rataje. Dwa pokoje okna wychodzące na południe zachód; widok na panoramę miasta. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele podłogowe ...,,,left_only
17,175.0,1.0,31.0,10.0,Poznań Grunwald,Zapraszam do zapoznania się z ofertą sprzedaży atrakcyjnego mieszkania ! Oferta dotyczy 1-pokojowego mieszkania na 10 piętrze w 11 piętrowym bloku o pow. 31 m2. Mieszkanie składa się z: - pokoju (19 5 m2); - przedpokoju (2 m;2) - kuchni (6 5...,,,left_only
18,229.0,2.0,42.6,10.0,Poznań Grunwald ul. Palacza,OFERTA ZABLOKOWANA!!!! W centrum Grunwaldu Sympatyczne komfortowe mieszkanie dwupokojowe o powierzchni użytkowej 42 60m2. Położone na X piętrze w X-piętrowym budynku z pięknym widokiem na panoramę Poznania. Układ funkcjonalny mieszkania:...,,,left_only
